iter	Passed	Remaining
0	159	159732
1	162	80879
2	164	54701
3	165	41128
4	165	32978
5	166	27602
6	167	23738
7	168	20871
8	169	18625
9	170	16843
10	170	15359
11	171	14143
12	172	13121
13	174	12268
14	175	11512
15	176	10851
16	177	10250
17	178	9713
18	178	9227
19	179	8787
20	179	8391
21	180	8028
22	181	7693
23	181	7387
24	182	7105
25	182	6843
26	183	6600
27	183	6375
28	184	6165
29	184	5968
30	185	5785
31	185	5613
32	186	5452
33	186	5302
34	187	5166
35	188	5041
36	188	4914
37	189	4793
38	189	4678
39	190	4569
40	190	4464
41	191	4366
42	191	4272
43	192	4181
44	192	4095
45	193	4011
46	193	3932
47	194	3856
48	194	3783
49	195	3714
50	195	3646
51	196	3581
52	196	3519
53	197	3459
54	197	3401
55	198	3345
56	198	3291
57	199	3238
58	199	3188
59	200	3141
60	201	3097
61	201	3052
62	202	3008
63	202	2967
64	203	2925
65	203	2885
66	204	2846
67	204	2808
68	205	2771
69	205	2735
70	206	2700
71	206	2666
72	207	2633
73	207	2600
74	208	2569
75	208	2538
76	209	2508
77	209	2479
78	210	2451
79	210	2423
80	211	2396
81	211	2369
82	211	2341
83	212	2316
84	212	2291
85	213	2267
86	213	2244
87	214	2221
88	214	2199
89	215	2179
90	216	2161
91	216	2141
92	217	2121
93	218	2101
94	218	2081
95	219	2062
96	219	2044
97	220	2025
98	220	2007
99	221	1989
100	221	1972
101	222	1955
102	222	1938
103	223	1922
104	223	1905
105	224	1889
106	224	1874
107	225	1859
108	225	1844
109	226	1829
110	226	1815
111	227	1801
112	227	1787
113	228	1773
114	228	1760
115	229	1747
116	229	1735
117	231	1727
118	231	1717
119	232	1704
120	233	1693
121	233	1681
122	234	1670
123	234	1659
124	235	1648
125	236	1637
126	236	1626
127	237	1615
128	237	1605
129	238	1595
130	238	1585
131	239	1574
132	240	1565
133	240	1556
134	241	1546
135	241	1536
136	242	1527
137	243	1518
138	243	1509
139	244	1500
140	245	1493
141	245	1484
142	246	1475
143	246	1468
144	247	1459
145	248	1450
146	248	1442
147	249	1434
148	249	1425
149	250	1418
150	250	1410
151	251	1401
152	251	1393
153	252	1386
154	252	1378
155	253	1370
156	253	1363
157	254	1355
158	254	1348
159	255	1340
160	255	1332
161	256	1325
162	256	1318
163	257	1311
164	257	1304
165	258	1298
166	259	1292
167	259	1287
168	260	1282
169	261	1276
170	262	1271
171	262	1265
172	263	1259
173	264	1253
174	264	1247
175	265	1241
176	265	1235
177	266	1229
178	266	1223
179	267	1217
180	267	1211
181	268	1206
182	268	1200
183	269	1194
184	269	1189
185	270	1183
186	270	1177
187	271	1172
188	271	1166
189	272	1161
190	272	1156
191	273	1151
192	274	1146
193	275	1142
194	275	1138
195	276	1133
196	276	1128
197	277	1123
198	277	1118
199	278	1113
200	279	1109
201	279	1104
202	280	1099
203	280	1094
204	281	1089
205	281	1085
206	282	1080
207	282	1076
208	283	1071
209	283	1067
210	284	1062
211	284	1057
212	285	1053
213	285	1049
214	286	1044
215	286	1040
216	287	1036
217	287	1031
218	288	1028
219	289	1024
220	289	1021
221	290	1016
222	290	1012
223	291	1008
224	291	1004
225	292	1000
226	292	996
227	293	992
228	293	988
229	294	985
230	294	981
231	295	977
232	295	973
233	296	970
234	296	966
235	297	962
236	297	958
237	298	955
238	298	951
239	299	948
240	299	944
241	300	941
242	301	937
243	301	934
244	302	930
245	302	927
246	303	924
247	303	921
248	304	918
249	305	915
250	305	912
251	306	908
252	306	905
253	307	902
254	307	899
255	308	895
256	308	892
257	309	889
258	309	886
259	310	883
260	310	880
261	311	877
262	311	874
263	312	871
264	312	867
265	313	864
266	313	861
267	314	858
268	314	855
269	315	852
270	315	849
271	316	846
272	316	844
273	317	841
274	318	839
275	319	836
276	319	834
277	320	831
278	320	828
279	321	825
280	321	822
281	322	820
282	322	817
283	323	814
284	323	811
285	324	809
286	324	806
287	325	803
288	325	801
289	326	798
290	326	796
291	327	793
292	327	790
293	328	788
294	328	785
295	329	783
296	329	780
297	330	778
298	330	775
299	331	773
300	332	771
301	332	769
302	333	767
303	334	764
304	334	762
305	335	759
306	335	757
307	336	754
308	336	752
309	337	750
310	337	747
311	338	745
312	338	743
313	339	740
314	339	738
315	340	736
316	340	733
317	341	731
318	341	729
319	342	727
320	342	724
321	343	722
322	343	720
323	344	717
324	344	715
325	345	713
326	345	711
327	346	709
328	346	707
329	347	706
330	348	703
331	348	701
332	349	699
333	349	697
334	350	695
335	350	693
336	351	691
337	351	689
338	352	686
339	352	684
340	353	682
341	353	680
342	354	678
343	354	676
344	355	674
345	355	672
346	356	670
347	357	668
348	357	666
349	358	664
350	358	662
351	358	660
352	359	658
353	359	656
354	360	655
355	361	653
356	362	652
357	362	650
358	363	649
359	364	647
360	364	646
361	365	644
362	366	642
363	366	640
364	367	639
365	368	637
366	368	635
367	369	634
368	369	632
369	370	630
370	371	629
371	371	627
372	372	625
373	372	624
374	373	622
375	374	620
376	374	619
377	375	617
378	376	616
379	377	615
380	377	613
381	378	611
382	378	610
383	379	608
384	379	606
385	380	604
386	380	603
387	381	601
388	381	599
389	382	598
390	382	596
391	383	594
392	383	592
393	384	591
394	384	589
395	385	587
396	385	586
397	386	584
398	386	582
399	387	581
400	387	579
401	388	577
402	388	576
403	389	574
404	390	573
405	390	571
406	391	570
407	391	568
408	392	567
409	393	565
410	393	563
411	394	562
412	394	560
413	395	559
414	395	557
415	396	556
416	396	554
417	397	552
418	397	551
419	398	549
420	398	548
421	399	546
422	399	545
423	400	543
424	400	542
425	401	540
426	401	539
427	402	537
428	402	536
429	403	534
430	403	533
431	404	531
432	405	530
433	405	529
434	406	527
435	406	526
436	407	524
437	407	523
438	408	521
439	408	520
440	409	518
441	410	517
442	410	516
443	411	514
444	411	513
445	412	511
446	412	510
447	413	509
448	413	507
449	414	506
450	414	504
451	415	503
452	415	501
453	415	500
454	416	498
455	416	497
456	417	496
457	417	494
458	418	493
459	419	492
460	420	491
461	420	490
462	421	488
463	422	487
