iter	Passed	Remaining
0	0	72
1	1	65
2	1	60
3	2	55
4	2	55
5	3	56
6	4	56
7	4	56
8	5	57
9	6	58
10	7	57
11	7	57
12	8	56
13	9	56
14	9	54
15	10	53
16	10	53
17	11	52
18	12	52
19	12	51
20	13	51
21	14	50
22	14	49
23	15	49
24	16	48
25	16	47
26	17	46
27	17	45
28	18	45
29	18	44
30	19	43
31	20	42
32	20	42
33	21	41
34	22	40
35	22	40
36	23	39
37	23	38
38	24	38
39	24	37
40	25	36
41	25	35
42	26	34
43	26	34
44	27	33
45	27	32
46	28	32
47	29	31
48	29	31
49	30	30
50	31	29
51	31	29
52	32	28
53	33	28
54	33	27
55	34	26
56	34	26
57	35	25
58	35	24
59	36	24
60	37	23
61	37	23
62	38	22
63	38	21
64	39	21
65	40	20
66	41	20
67	41	19
68	42	18
69	42	18
70	43	17
71	43	17
72	44	16
73	45	15
74	45	15
75	46	14
76	47	14
77	47	13
78	48	12
79	49	12
80	49	11
81	50	11
82	51	10
83	51	9
84	52	9
85	52	8
86	53	7
87	53	7
88	54	6
89	55	6
90	55	5
91	56	4
92	57	4
93	57	3
94	58	3
95	59	2
96	59	1
97	60	1
98	60	0
99	61	0
